,Title,Published_date,Views,Likes,Comments,Month
74,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,12/7/2020,22743,709,326,Dec
75,7 Things to Look For in a Masters For Data Science (feat. @Tina Huang),11/20/2020,24756,772,166,Nov
76,6 Lessons from #66DaysOfData,11/13/2020,6606,339,95,Nov
77,100K Channel Update + AMA Stream!,11/12/2020,2315,128,24,Nov
78,Find a Data Science Project With These 3 Techniques,11/6/2020,15422,661,101,Nov
79,How I Chose My Masters Degree for Breaking into Data Science,10/30/2020,23643,621,154,Oct
80,git for Data Science Made Simple... (Hopefully),10/23/2020,16485,782,92,Oct
81,The PODCAST you might have asked for?,10/19/2020,2039,94,44,Oct
82,Dealing with Doubt in Data Science (My Impostor Syndrome Story),10/16/2020,6571,444,113,Oct
83,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,10/14/2020,12575,376,48,Oct
84,Data Science Resume Round-Up With @Tina Huang  | Episode 3,10/12/2020,6099,134,62,Oct
85,5 Unusual Data Science Projects that Will Land You a Job,10/9/2020,9331,499,81,Oct
86,Sh*t Data Scientists Say (Parody),10/5/2020,9138,571,142,Oct
87,5 Proven Strategies to Break into a Data Science Job,10/2/2020,8486,366,93,Oct
88,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,9/30/2020,6945,284,61,Sep
89,Data Science Resume Round-Up With @Tina Huang  - Episode 1,9/28/2020,10804,281,69,Sep
90,5 Essential Data Science Projects for Your Portfolio,9/26/2020,67377,2946,204,Sep
91,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,9/23/2020,5051,193,66,Sep
92,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),9/21/2020,9994,402,58,Sep
93,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",9/18/2020,7217,249,34,Sep
94,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,9/16/2020,5027,192,56,Sep
95,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),9/14/2020,4002,154,35,Sep
96,The 5 Pillars of Success I Live By,9/11/2020,9998,871,153,Sep
97,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,9/9/2020,1870,78,25,Sep
98,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),9/7/2020,3882,157,43,Sep
99,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,9/4/2020,11332,723,143,Sep
100,How She Dominated the FAANG Data Science Interview  (@Tina Huang ) - KNN EP. 11,9/2/2020,17537,564,89,Sep
